LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
0,0870774;0,033718;0,00272527;0,0173761;0,0807637;-0,00387776;0,0117339;0,611607;0,819245;0,994929;0,998131;1;0,938475;Nasal;Blue
-0,0900825;-0,126565;-0,00309878;-0,0482193;-0,0400238;-0,0781238;0,0258894;0,695278;0,92017;1;0,998996;0,930802;0,930656;Nasal;Blue
-0,00985049;0,0757931;0,0077849;0,0528199;0,00350713;0,065959;-0,0140097;0,988124;1;0,982377;0,751531;0,924856;0,96755;Nasal;Blue
0,0424636;-0,0718777;0,076656;0,0796025;0,00725065;-0,00203015;0,0286736;0,498672;0,673932;0,996325;1;0,950128;0,864966;Nasal;Blue
0,0210583;-0,0418076;0,0511875;0,0195982;-0,0128106;-0,0300014;0,100451;0,539033;0,756859;1;0,911605;0,891177;0,758705;Nasal;Blue
0,0221606;0,0857428;-0,0528338;0,0291522;-0,0580652;-0,0567638;0,098685;0,536582;0,763124;1;0,975557;0,847137;0,818564;Nasal;Blue
0,0318147;0,0937234;0,134197;-0,0439264;-0,0733975;0,117755;0,0480426;0,409285;0,743066;1;0,993198;0,963626;0,799228;Nasal;Blue
0,0923704;0,138695;0,00523392;-0,175407;-0,0459795;-0,158538;-0,018948;0,744641;0,884331;0,948032;1;0,949608;0,966346;Nasal;Blue
0,11351;-0,0162116;0,125101;0,0662005;-0,0336606;0,00757321;-0,00937772;0,600701;0,839659;1;0,943499;0,946204;0,778648;Nasal;Blue
-0,0117139;0,0264782;-0,005997;-0,0053641;0,0183919;-0,0401433;0,0916498;0,358968;0,876931;1;0,996884;0,893585;0,714344;Nasal;Blue
0,140801;0,0659438;-0,0081663;-0,101393;-0,0134406;0,020622;-0,0267332;0,573545;0,776152;1;0,926566;0,96856;0,701094;Nasal;Blue
-0,144643;-0,0792586;-0,213131;-0,187109;-0,258113;-0,0775582;0,272403;0,944756;0,982028;1;0,48917;0,889608;0,973789;Nasal;Blue
-0,0733753;-0,0450125;-0,0792244;-0,155235;-0,115143;-0,0369675;-0,0168678;0,965175;0,96268;0,960991;0,645655;0,956882;1;Nasal;Blue
0,077739;-0,0195658;0,0609854;0,059434;0,0800146;-0,0352498;0,0349436;0,224339;0,571799;1;0,778039;0,783721;0,632329;Nasal;Blue
0,0274265;-0,503435;-0,308396;-0,181628;-0,228158;-0,58443;-0,0367878;0,691812;0,944691;1;0,948801;0,951196;0,955391;Nasal;Blue
-0,137047;0,105485;0,0509362;0,0271044;0,0140239;0,019716;-0,0164065;0,452833;0,777517;1;0,955281;0,870862;0,661407;Nasal;Blue
-0,0306652;-0,203509;-0,140326;-0,266506;-0,0578991;-0,21674;0,215355;0,993844;1;0,95545;0,54759;0,93862;0,810436;Nasal;Blue
0,0902762;0,0229534;0,0480343;0,113698;0,0627061;-0,0867474;-0,0278447;0,41525;0,66448;1;0,938338;0,882863;0,672763;Nasal;Blue
-0,00174318;0,0408736;-0,0135473;0,0561394;0,105359;-0,0734819;0,0225;0,513236;0,72441;1;0,920971;0,896418;0,771772;Nasal;Blue
-0,0103622;0,0628321;-0,0339747;0,120108;0,0020393;0,050023;0,0898554;0,431754;0,736791;1;0,948422;0,861371;0,803423;Nasal;Blue
-0,0357829;-0,0978323;-0,0068323;-0,125831;0,0182954;0,0607217;0,0975728;0,409618;0,711058;1;0,863544;0,823912;0,775258;Nasal;Blue
0,0404569;0,0487708;0,0912286;0,085646;0,0890115;0,108731;0,079969;0,305092;0,629782;1;0,92389;0,781877;0,697239;Nasal;Blue
0,113429;0,0713465;0,0766195;-0,265569;0,0776073;-0,0834211;0,0707922;0,480549;0,75785;1;0,975044;0,846251;0,62868;Nasal;Blue
