LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;cone_type
-0,219517;-0,259064;-0,420993;-0,44343;-0,752534;-1;-0,905613;0,324436;0,722822;0,969924;0,982897;0,96285;0,96454;B
-0,11956;-0,322181;-0,255261;-0,46849;-0,706236;-0,962131;-1;-0,108447;0,150196;0,304898;0,365212;0,335805;0,342087;B
-0,0411684;0,030997;0,0041459;0,00674948;-0,138061;-0,337819;-0,299025;0,28141;0,53676;0,988014;1;0,952248;0,960134;B
-0,0931668;-0,0139813;-0,149084;-0,139786;-0,207836;-0,280612;-0,145573;0,746326;0,931735;0,992503;1;0,933012;0,934277;B
-0,0191979;0,0203616;-0,101432;-0,268351;-0,514904;-0,486511;-0,749909;0,344993;0,72489;0,903067;1;0,912563;0,892499;B
-0,122241;-0,222821;-0,397524;-0,541093;-0,882185;-1;-0,963143;0,409443;0,765953;0,927179;0,882829;0,818929;0,82269;B
-0,114898;-0,144128;-0,320999;-0,511216;-0,910158;-1;-0,728074;0,331547;0,540113;0,621506;0,534959;0,543919;0,516441;B
0,0405312;-0,273973;-0,207851;-0,453368;-0,713143;-1;-0,788791;0,308666;0,650363;0,842183;0,926864;0,805063;0,74315;B
0,148079;0,142478;0,216413;0,0840913;-0,432299;-0,761382;-0,834471;0,105472;0,566158;0,950965;0,993593;1;0,982586;B
0,0140046;-0,238682;-0,192612;-0,313198;-0,600901;-0,779065;-7,64E-01;0,418212;0,664781;1;0,911072;0,879056;0,906264;B
-0,159343;-0,0289732;-0,381489;-0,250818;-0,4258;-0,312236;-0,595395;0,804751;0,863228;1;0,941677;0,864352;0,896252;B
-0,0200029;-0,141213;-0,303538;-0,21507;-0,447989;-0,452015;-0,466614;0,345405;0,635248;0,840989;0,836507;0,941295;1;B
-0,00708541;0,167729;-0,0665735;0,046909;-0,159277;-0,556367;-0,515286;0,316246;0,725669;0,962321;1;0,91534;0,895063;B
-0,0289864;-0,0141322;-0,203198;-0,00167463;-0,285675;-0,47185;-0,377786;0,73563;0,842301;0,908665;1;0,917256;0,961613;B
-0,258004;-0,0866939;-0,257608;-0,661586;-0,508014;-0,812158;-0,78497;0,569594;0,695746;1;0,860997;0,777866;0,93712;B
-0,0507305;-0,172936;-0,216953;-0,291023;-0,365828;-0,94845;-0,544875;0,754808;0,772812;1;0,918308;0,882298;0,837254;B
0,237279;0,171044;0,00726865;0,133678;0,0103167;-0,0339949;-0,185639;0,204098;0,564039;0,869277;1;0,682268;0,444857;B
0,0658744;-0,0015461;0,153369;0,169098;-0,0488699;-0,294238;-0,179707;0,0639247;0,422109;0,939934;1;0,707009;0,482993;B
-0,187157;-0,256888;-0,215478;-0,151674;-0,469716;-0,481509;-0,412026;0,675115;0,781409;1;0,929829;0,653464;0,819555;B
0,0686937;-0,0555655;-0,132016;-0,502063;-0,766273;-1;-0,76769;0,15836;0,333941;0,440743;0,481824;0,328757;0,321993;B
0,146147;0,347056;0,163237;0,100057;-4,79E-05;-0,316842;-0,536703;-0,121884;-0,087542;0,99934;1;0,559426;0,437203;B
-0,323141;-0,413859;-0,473106;-0,772601;-0,956308;-1;-0,887322;0,125767;0,574333;0,839338;0,799662;0,637899;0,695897;B
-0,128255;-0,166028;-0,0518936;0,0133551;-0,238318;-0,302552;-0,183817;0,605924;0,750736;0,904058;1;0,791132;0,827865;B
-0,0866251;-0,367066;0,0202444;-0,320678;-0,612369;-0,805257;-0,542246;0,4856;0,93373;0,986046;1;0,802368;0,703555;B
0,0172149;-0,0484661;-0,147636;-0,149498;-0,20971;-0,770894;-0,467048;0,357353;0,819661;0,948211;1;0,885203;0,746292;B
0,112185;-0,160244;-0,105264;-0,0557399;-0,424403;-0,580888;-1;-0,22951;0,0105598;0,638039;0,542498;0,335046;0,191496;B
-0,0961667;-0,657572;-0,411522;-0,349575;-0,593241;-0,875091;-0,858526;0,192612;0,734567;0,988321;0,911493;0,914083;1;B
0,116535;0,00622484;0,468802;0,186858;-0,0189212;-0,171923;-0,304727;-0,287583;-0,0401672;1;0,965817;0,43035;0,335882;B
