LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
-0,0717288;-0,0564704;0,134872;0,205993;-0,0910081;-0,750249;-1;0,442698;0,615855;0,664437;0,642906;0,660231;0,587855;Nasal;B
-0,080479;-0,20598;-0,286154;-0,336809;-0,669456;-1;-0,958075;0,240903;0,631623;0,621513;0,620389;0,62777;0,610275;Nasal;B
-0,0418292;-0,117022;-0,0746681;-0,0651542;-0,626901;-1;-0,853619;0,556399;0,798507;0,836102;0,808462;0,80785;0,740407;Nasal;B
-0,0626597;-0,0225108;-0,041577;0,00509935;-0,387066;-0,906948;-1;0,289884;0,492102;0,534949;0,497752;0,42918;0,361404;Nasal;B
-0,0553002;-0,0162717;-0,071827;-0,0908274;-0,316074;-0,776196;-1;0,237199;0,486625;0,58435;0,580689;0,593274;0,493224;Nasal;B
-0,124039;-0,0534635;-0,0327246;-0,0579025;-0,544667;-1;-0,810759;0,558285;0,634693;0,615774;0,610439;0,590335;0,555418;Nasal;B
-0,115538;-0,213013;-0,160476;-0,186485;-0,364876;-0,95489;-1;0,339736;0,634749;0,582898;0,585366;0,575448;0,537199;Nasal;B
-0,0535383;-0,101266;-0,271514;-0,0951904;-0,485011;-0,927939;-1;0,577539;0,83711;0,883667;0,833829;0,853403;0,743368;Nasal;B
-0,079358;0,0100789;0,0726663;0,0414036;-0,32762;-0,825626;-1;0,202333;0,660275;0,855009;0,754745;0,720141;0,522751;Nasal;B
0,0593729;0,00111384;-0,027679;-0,0152753;-0,202638;-1;-0,986737;0,262586;0,410545;0,571306;0,517269;0,536732;0,504358;Nasal;B
0,124055;0,324458;0,212022;0,130477;-0,316676;-0,852882;-1;0,395608;0,71821;0,71744;0,814642;0,770474;0,703014;Nasal;B
0,128162;-0,0165564;-0,0228441;0,149414;-0,404253;-0,792286;-1;0,445058;0,718441;0,812002;0,745432;0,743211;0,663715;Nasal;B
0,031214;-0,144867;-0,0415826;-0,0676803;-0,238531;-1;-0,839312;0,4683;0,624126;0,611501;0,658586;0,635839;0,612434;Nasal;B
0,108284;-0,0854523;-0,0783391;-0,0591131;-0,251907;-1;-0,836036;0,678634;0,904044;0,897565;0,871307;0,910515;0,733902;Nasal;B
0,125212;0,0560161;0,047547;0,145443;0,0259045;-0,574538;-1;-0,390003;0,242438;0,762671;0,549779;0,485403;0,0679706;Nasal;B
-0,0556655;-0,00877295;-0,0177909;-0,202673;-0,338191;-0,476302;-0,297379;0,548534;0,857727;1;0,93618;0,92373;0,728415;Nasal;B
-0,0820898;-0,157107;-0,0896852;0,021058;-0,459762;-1;-0,908786;0,444185;0,795269;0,89597;0,97736;0,895566;0,85407;Nasal;B
0,0841799;-0,0600706;-0,0199914;0,0867841;-0,24637;-0,950593;-0,778944;0,771497;1;0,981296;0,971973;0,944852;0,882299;Nasal;B
-0,198127;0,0701864;-0,0848662;-0,179058;-0,342206;-0,950791;-0,784621;0,627322;0,908715;0,903182;1;0,923202;0,843402;Nasal;B
-0,222041;-0,14416;-0,170225;-0,841791;-1;-0,800148;-0,637688;0,179142;0,0627292;0,38181;0,237541;0,429332;0,46575;Nasal;B
0,126036;0,0149047;0,277121;0,0588422;-0,26692;-1;-0,911645;0,541376;0,788135;0,908643;0,817996;0,858103;0,709224;Nasal;B
0,173982;0,0563032;-0,0849144;-0,0931069;-0,352817;-0,800893;-0,736276;0,805977;0,938319;1;0,937658;0,940495;0,818424;Nasal;B
-0,19271;-0,0224161;-0,126807;-0,261157;-0,303494;-0,914657;-0,753447;0,644175;0,774789;0,957997;1;0,856547;0,934938;Nasal;B
0,0788284;-0,00337401;-0,193026;-0,195182;-0,541478;-1;-0,146426;0,768113;0,976909;0,917264;0,868667;0,936375;0,855081;Nasal;B
