LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
-0,103295;0,0165613;-0,0563764;-0,0584605;-0,0381416;0,605938;0,973286;0,972842;1;0,963156;0,937553;0,886423;0,827366;Nasal;Green
0,0164047;-0,0728349;-0,000839594;-0,056932;-0,0450113;0,678777;0,954919;0,98144;0,958263;1;0,94861;0,905078;0,804889;Nasal;Green
0,010467;-0,0255302;-0,086132;-0,07127;-0,000578937;0,809807;1;0,983158;0,981345;0,987679;0,979293;0,956413;0,905406;Nasal;Green
0,0759034;-0,0134155;-0,0758947;-0,0786477;-0,0290389;0,765226;0,95941;0,999961;1;0,988183;0,97703;0,928183;0,778748;Nasal;Green
0,0275636;-0,000285129;-0,00105043;-0,0472127;-0,0520469;0,74288;0,991679;0,989339;1;0,997449;0,942372;0,928484;0,88385;Nasal;Green
-0,00840808;0,00590176;-0,0974783;-0,131764;-0,0749105;0,547528;0,946222;0,973206;1;0,982877;0,95603;0,822875;0,579583;Nasal;Green
-0,0963473;-0,0428251;-0,130235;-0,129455;0,0135589;0,886958;0,958871;0,957316;0,988077;1;0,966677;0,887521;0,853064;Nasal;Green
0,0121759;-0,0433768;-0,0206584;-0,0178957;-0,0538324;0,425632;0,932043;0,971112;1;0,952383;0,884458;0,747415;0,589112;Nasal;Green
-0,0558326;-0,0231643;-0,0208968;-0,0411927;-0,115426;0,347175;9,94E-01;1;0,985076;0,973202;0,968416;0,921046;0,616351;Nasal;Green
-0,0483686;-0,0627305;-0,0318953;-0,129513;-0,150073;-0,084107;1;0,99809;0,990836;0,987056;0,989158;0,778932;0,331758;Nasal;Green
-0,0320907;-0,136671;-0,136454;-0,0732476;0,00369401;0,653964;0,972425;0,985427;0,986983;1;0,933311;0,904734;0,78368;Nasal;Green
-0,0430214;-0,146036;-0,182805;-0,223889;-0,101248;0,43321;0,965257;0,947841;0,933027;1;0,930428;0,87013;0,784437;Nasal;Green
