LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
-0,0810111;-0,200686;-0,384414;-0,855817;-1;-0,443069;0,149022;0,302614;0,297282;0,237511;0,112219;-0,0547205;-0,0659026;Nasal;G
0,00824503;-0,122477;-0,423642;-0,896537;-1;-0,177877;0,284234;0,357795;0,360193;0,340223;0,161688;0,0131637;-0,117285;Nasal;G
-0,013966;-0,20284;-0,358687;-0,768548;-1;-0,173948;0,210014;0,271876;0,242248;0,242474;0,0793846;0,0379751;-0,0762525;Nasal;G
0,00239452;-0,166805;-0,517528;-1;-0,859177;0,202825;0,477308;0,435222;0,376764;0,367761;0,225785;0,106331;0,0780704;Nasal;G
-0,0999743;-0,290162;-0,542105;-0,758491;-1;0,0161261;0,411132;0,545161;0,569555;0,521029;0,320411;0,164104;0,0405818;Nasal;G
0,0781199;-0,105881;-0,0928439;-0,17066;-0,116681;0,104037;0,811467;0,987779;1;0,81841;0,583953;-0,00797424;-0,0098125;Nasal;G
0,0528362;-0,0376742;-0,0489403;-0,0269421;0,0907594;0,00475238;0,837292;0,980631;1;0,874076;0,559199;0,215392;0,0869531;Nasal;G
-0,0480182;-0,363012;-0,598429;-0,786167;-1;-0,376306;0,300098;0,371893;0,39355;0,352872;0,301442;0,10663;-0,0527806;Nasal;G
-0,0630552;-0,396961;-0,718509;-0,897813;-1;-0,0347189;0,373976;0,461211;0,40829;0,421218;0,278997;0,0532232;0,065703;Nasal;G
-0,185673;-0,470608;-0,743181;-1;-0,289375;0,102953;0,149888;0,150614;0,156789;0,132554;0,0879075;0,055297;0,0146333;Nasal;G
-0,0207937;-0,0958662;-0,0769287;-0,0903177;-0,0446111;-0,0744596;0,916591;1;0,970097;0,970167;0,721455;0,246649;0,0256046;Nasal;G
-0,117746;-0,211018;-0,493234;-1;-0,945395;-0,0287046;0,213856;0,252444;0,282006;0,20458;0,145749;0,0165938;0,030349;Nasal;G
-0,172409;-0,684561;-0,824109;-1;-0,824579;0,212222;0,534753;0,573156;0,49221;0,469133;0,362824;0,0765283;-0,0823748;Nasal;G
-0,0568195;-0,0416619;-0,295098;-0,630117;-1;-0,396462;0,159168;0,347676;0,295179;0,249457;0,138012;-0,100559;-0,2114;Nasal;G
-0,0921231;-0,0873898;-0,122473;-0,151803;-0,0924203;-0,117477;0,894175;1;0,966768;0,823112;0,588638;0,153373;-0,00602792;Nasal;G
-0,0952108;-0,427276;-0,641435;-1;-0,624414;0,252522;0,517135;0,551232;0,511072;0,521738;0,390325;0,161728;0,0694394;Nasal;G
-0,0404988;-0,397706;-0,781479;-0,971847;-1;0,0781218;0,295591;0,290113;0,303139;0,263974;0,0866588;-0,0103158;-0,142846;Nasal;G
0,0382697;-0,0728743;-0,116614;-0,129542;-0,0505914;-0,101644;0,826214;0,96296;1;0,757726;0,495007;0,120442;-0,0479269;Nasal;G
-0,0828125;-0,142017;-0,211812;-0,158364;-0,126314;-0,0153346;0,935717;0,999894;1;0,926124;0,656188;0,231038;0,00408996;Nasal;G
0,0267399;-0,0705466;-0,158181;-0,55856;-0,145357;0,560906;0,890593;1;0,985292;0,937441;0,710634;0,505758;0,471315;Nasal;G
-0,154247;-0,429089;-0,711593;-1;-0,925916;-0,102339;0,600117;0,52354;0,650306;0,541129;0,38856;0,129789;0,134015;Nasal;G
