LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
0,100466;0,502962;0,833035;1;0,99278;0,857492;0,971343;0,740001;0,567924;0,248973;0,292388;0,79253;0,62555;Nasal;Red
0,103368;0,259104;0,908036;0,987014;0,992098;1;0,962536;0,772167;0,640638;0,415985;0,507795;0,655714;0,626635;Nasal;Red
-0,0287014;0,271995;0,796608;0,9534;0,659703;1;0,793328;0,764287;0,96714;0,901005;0,732906;0,798387;0,889498;Nasal;Red
0,337808;0,63689;0,986842;0,871792;0,758771;0,914306;1;0,876466;0,807229;0,443579;0,492098;0,668369;0,850375;Nasal;Red
0,256936;0,525085;0,872588;0,82109;0,937135;0,916114;1;0,59879;0,44102;0,357952;0,127665;0,482007;0,633157;Nasal;Red
0,407893;1;0,931469;0,960508;0,936842;0,847604;0,81124;0,788427;0,647079;0,660525;0,604353;0,55601;0,490037;Nasal;Red
-0,126209;-0,272123;-0,630493;-0,602683;-0,557181;-1;-0,843751;-0,511262;-0,665458;-0,425947;-0,349914;-0,341985;-0,541914;Nasal;Red
0,547096;1;0,566064;0,790381;0,616965;0,942161;0,557097;0,382342;0,551275;0,513508;0,401831;0,760572;0,606639;Nasal;Red
0,0466824;0,319528;0,73315;0,848363;0,875977;1;0,821514;0,186446;0,130787;-0,269286;-0,321382;0,0219009;0,38183;Nasal;Red
0,0844524;0,733966;0,775798;0,901325;0,973591;0,767795;0,759894;1;0,519078;0,831553;0,429517;0,466107;0,609812;Nasal;Red
0,252838;0,593867;0,70102;0,803383;1;0,858978;0,975999;0,586096;0,719241;0,574874;0,489044;0,722971;0,852741;Nasal;Red
0,369914;0,351687;0,747985;1;0,926579;0,802407;0,821385;0,429158;0,605739;0,576002;0,293272;0,424288;0,345908;Nasal;Red
0,122056;0,39759;0,689934;0,854827;0,910261;0,715179;1;0,395082;0,450365;0,214209;0,194253;0,274758;0,532299;Nasal;Red
0,171436;0,900441;0,873983;1;0,80553;0,702509;0,682304;0,51533;0,489077;0,534091;0,639211;0,495565;0,472771;Nasal;Red
0,960277;0,922445;0,928168;1;0,945409;0,69463;0,708624;0,734219;0,538656;0,417523;0,540778;0,625399;0,349239;Nasal;Red
0,113241;0,1897;0,563922;1;0,902736;0,966317;0,791417;0,825289;0,670375;0,602248;0,297322;0,464116;0,752418;Nasal;Red
0,28115;0,525418;0,00565368;0,425162;0,526948;1;0,489502;0,304903;0,596168;-0,157298;0,265576;0,420083;-0,359649;Nasal;Red
-0,104311;0,172766;0,700496;0,841598;0,936982;1;0,844843;0,728064;0,574618;0,260378;0,402131;0,257023;0,456059;Nasal;Red
0,297313;0,629683;0,702568;0,763265;0,988162;0,784047;1;0,581275;0,678005;0,290584;0,551583;0,411022;0,53708;Nasal;Red
0,47473;0,704945;0,730321;0,664284;0,801536;0,960993;1;0,72285;0,779619;0,758002;0,352907;0,767271;0,696674;Nasal;Red
0,181914;0,600551;0,544355;0,612633;0,741348;0,776631;0,579843;0,648633;1;0,449957;0,490083;0,684923;0,743385;Nasal;Red
0,415815;0,771181;0,67246;1;0,957414;0,963232;0,715942;0,553563;0,703316;0,532491;0,578325;0,782519;0,648178;Nasal;Red
