LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;cone_type
0,138559;0,418086;0,620259;0,867095;1;0,961199;0,794882;0,446132;0,383432;0,236861;0,196848;0,275468;0,47801;R
0,103171;0,344875;0,647439;0,905519;1;0,977288;0,836108;0,374774;0,361986;0,168361;0,156485;0,204878;0,477206;R
0,0781992;0,411319;0,627829;0,892098;1;0,957903;0,838055;0,405734;0,362923;0,192836;0,172938;0,243462;0,474653;R
0,139747;0,479347;0,705742;0,93253;1;0,977695;0,850087;0,333073;0,334048;0,16099;0,155337;0,295361;0,518049;R
0,182077;0,475323;0,709892;0,934363;1;0,943279;0,845285;0,481192;0,442646;0,264511;0,329375;0,364687;0,594524;R
0,123141;0,413263;0,667526;0,907525;1;0,989957;0,832619;0,383354;0,325518;0,202976;0,189371;0,252631;0,498439;R
0,121847;0,388683;0,589649;0,873032;1;0,97183;0,816839;0,36502;0,374114;0,193343;0,179173;0,256632;0,50356;R
0,103064;0,342601;0,629402;0,878262;1;0,952465;0,808782;0,347999;0,275394;0,161109;0,149081;0,19531;0,448165;R
0,233914;0,584073;0,739098;0,900878;1;0,930729;0,838573;0,501312;0,472626;0,331675;0,319623;0,427195;0,635124;R
0,128989;0,442481;0,671804;0,925545;1;0,944488;8,86E-01;0,428106;0,413887;0,214345;0,17267;0,235418;0,403478;R
0,153468;0,539307;0,775113;0,933386;1;0,999477;0,917337;0,510537;0,466726;0,257508;0,216837;0,273653;0,624182;R
0,0538664;0,366233;0,643066;0,882965;1;0,986594;0,853965;0,333184;0,309024;0,188817;0,130233;0,177108;0,496347;R
0,13482;0,467517;0,580255;0,855979;1;0,945186;0,776339;0,435313;0,441889;0,258388;0,206936;0,290692;0,565914;R
0,242824;0,51146;0,671423;0,89425;1;0,949823;0,828905;0,396327;0,365721;0,228094;0,206028;0,249502;0,337747;R
0,310864;0,550281;0,795815;0,936168;1;0,990477;0,962392;0,850517;0,830815;0,733737;0,547543;0,701109;0,935454;R
0,115664;0,486834;0,706039;0,901077;1;0,972733;0,81322;0,365476;0,35714;0,205463;0,127765;0,235825;0,393833;R
0,156814;0,360457;0,570701;0,906344;1;0,965166;0,934788;0,708079;0,691401;0,493258;0,473558;0,519607;0,803823;R
0,182324;0,419813;0,658469;0,883794;1;0,939668;0,8065;0,376297;0,376061;0,244891;0,24212;0,316232;0,581824;R
0,186532;0,515362;0,800606;0,95336;0,992924;1;0,992354;0,818564;0,840508;0,744632;0,532923;0,669073;0,908403;R
0,146842;0,394397;0,631173;0,894252;1;0,989195;0,84052;0,273268;0,250556;0,0507898;0,0386191;0,0664549;0,135355;R
0,0849748;0,334992;0,617365;0,903421;1;0,986785;0,824856;0,325953;0,286215;0,143342;0,112956;0,171285;0,246149;R
0,132584;0,5686;0,737874;0,898169;0,969934;1;0,895884;0,470657;0,469773;0,26414;0,259605;0,342656;0,663556;R
0,176948;0,443155;0,725173;0,907972;1;0,984764;0,981971;0,841125;0,908372;0,751315;0,609623;0,765817;0,99438;R
0,137152;0,433612;0,658026;0,898095;1;0,955553;0,87726;0,428202;0,394787;0,264185;0,216323;0,305278;0,602694;R
0,081445;0,30271;0,630636;0,947293;1;0,991248;0,963833;0,727179;0,709884;0,469484;0,289981;0,443363;0,806698;R
0,0971443;0,338161;0,573015;0,887913;1;0,976124;0,916252;0,685352;0,711007;0,513226;0,466098;0,519004;0,775141;R
0,0961761;0,35021;0,60628;0,926426;0,997975;1;0,880992;0,716483;0,699053;0,625562;0,349266;0,519919;0,853159;R
0,105324;0,469904;0,70701;0,894922;0,973768;1;0,949898;0,758492;0,786669;0,624036;0,371136;0,516042;0,945333;R
0,161694;0,563476;0,725737;0,927461;1;0,996234;0,88106;0,433344;0,421633;0,244633;0,252054;0,329638;0,61367;R
0,255672;0,577022;0,682463;0,914066;1;0,962184;0,785892;0,520147;0,471824;0,331049;0,326601;0,396924;0,487897;R
0,242118;0,576639;0,883021;0,953217;0,954481;0,995836;1;0,855879;0,937734;0,80893;0,727201;0,815371;0,95407;R
0,192708;0,524713;0,679809;0,839131;1;0,939411;0,818992;0,469643;0,443989;0,321654;0,296038;0,358983;0,451961;R
0,154312;0,307675;0,540319;0,800695;1;0,915926;0,747688;0,317091;0,3593;0,203107;0,194579;0,196122;0,296818;R
0,243285;0,541555;0,703127;0,851712;1;0,942019;0,834691;0,478279;0,430796;0,320569;0,215293;0,346303;0,603756;R
0,312628;0,530257;0,674226;0,888878;1;0,987332;0,829922;0,503839;0,46237;0,316455;0,28909;0,373224;0,42313;R
0,00735786;0,178246;0,413411;0,820149;1;0,932342;0,900788;0,419728;0,468982;0,251952;0,235876;0,302577;0,718006;R
0,286583;0,702581;0,893301;0,951812;1;0,949425;0,942584;0,899553;0,892934;0,859857;0,717829;0,969333;0,95661;R
0,133373;0,447644;0,620267;0,862496;1;0,931566;0,840291;0,396237;0,348098;0,154306;0,0775443;0,283904;0,601678;R
0,346737;0,576533;0,788011;0,943444;1;0,983566;0,933587;0,806015;0,876264;0,620903;0,344778;0,549172;0,930189;R
0,204921;0,743805;0,795657;0,935359;0,933774;0,977108;0,959818;0,749334;0,888129;0,775204;0,715818;0,706787;1;R
0,0736428;0,508808;0,664762;0,906755;1;0,965221;0,858471;0,473682;0,529642;0,259942;0,351929;0,37697;0,469613;R
0,134844;0,371405;0,590908;0,869082;0,984975;1;0,938313;0,706852;0,708399;0,556633;0,367845;0,50395;0,812702;R
0,354784;0,822022;0,898203;1;0,978798;0,94414;0,955183;0,895825;0,846971;0,637836;0,594102;0,743022;0,954218;R
0,132998;0,359925;0,536052;0,851482;1;0,98175;0,733052;0,311681;0,33164;0,218655;0,236057;0,274772;0,472689;R
-0,119607;0,0235243;0,276749;0,472902;0,758722;1;0,86297;0,638289;0,182059;0,174497;0,156314;0,423587;0,22494;R
0,241962;0,457476;0,618084;0,869287;1;0,983036;0,927429;0,726114;0,829019;0,60926;0,560155;0,651987;0,831007;R
