LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;cone_type
0,156265;0,690766;0,902536;0,957406;1;0,954;0,954327;0,925335;0,930385;0,827155;0,675336;0,872112;0,948125;R
0,402425;0,911174;0,942178;1;0,995151;0,962587;0,996698;0,966474;0,969578;0,91853;0,911253;0,894733;0,970263;R
0,065941;0,362207;0,876342;0,960208;1;0,980994;0,978772;0,783115;0,848075;0,587453;0,320871;0,476349;0,901773;R
0,142878;0,582489;0,929287;0,98514;0,954488;1;0,953432;0,893453;0,872445;0,731975;0,373799;0,769978;0,879834;R
0,0867912;0,537002;0,969053;1;0,982416;0,986749;0,984719;0,834666;0,874871;0,621731;0,471006;0,543417;0,894997;R
0,554372;0,758152;0,928341;0,992051;0,96809;1;0,927362;0,881204;0,902397;0,818594;0,718288;0,831481;0,942644;R
0,455413;0,852732;0,963706;0,94804;0,970654;1;0,903647;0,892465;0,843554;0,795865;0,701029;0,816398;0,867143;R
0,163684;0,417527;0,805193;0,99581;1;0,980895;0,951137;0,760702;0,74891;0,527028;0,326733;0,470751;0,816758;R
0,0806517;0,371869;0,839367;1;0,962481;0,935441;0,942795;0,774376;0,808634;0,494332;0,332759;0,458899;0,890738;R
0,135884;0,45625;0,617635;1;0,958944;0,953858;9,40E-01;0,670624;0,686874;0,437696;0,300666;0,580736;0,657693;R
0,301261;0,765345;0,861652;1;0,967944;0,968705;0,948018;0,925162;0,838748;0,790275;0,672491;0,732427;0,859955;R
0,140341;0,497196;0,805294;0,966954;0,947022;1;0,997505;0,881512;0,837615;0,626359;0,432262;0,740003;0,91172;R
0,171022;0,225964;0,686738;0,973251;0,925625;1;0,970656;0,474793;0,493768;0,213422;0,252591;0,263378;0,727459;R
0,228854;0,403726;0,671309;0,911994;1;0,993877;0,9317;0,58363;0,64061;0,383989;0,423185;0,411503;0,73906;R
0,230916;0,63962;0,918838;0,944766;1;0,949857;0,946344;0,798492;0,699258;0,510938;0,43482;0,550481;0,811176;R
0,277624;0,830885;0,918348;0,941468;0,948444;1;0,953552;0,791111;0,860589;0,652592;0,556081;0,708628;0,925785;R
0,321276;0,855463;0,967131;0,943946;0,945546;0,974028;1;0,938536;0,953173;0,806233;0,792554;0,868802;0,904901;R
0,223294;0,609166;0,78731;0,944039;1;0,966477;0,956501;0,643344;0,670859;0,396997;0,399349;0,428626;0,745097;R
0,432171;0,776046;0,912976;1;0,996742;0,980105;0,948706;0,750377;0,708874;0,643167;0,569537;0,594201;0,765213;R
0,267808;0,682307;0,891247;0,917485;0,929744;0,955919;1;0,800772;0,809233;0,664248;0,466347;0,700364;0,8825;R
0,0480642;0,599223;0,827727;0,976572;0,965952;1;0,95686;0,551265;0,594523;0,396706;0,262614;0,289762;0,647251;R
0,287982;0,603003;0,773121;1;0,98495;0,98729;0,974295;0,693434;0,620268;0,425015;0,309202;0,321859;0,526172;R
0,112002;0,380091;0,711211;0,939577;1;0,962719;0,95873;0,526492;0,54243;0,262308;0,252821;0,386401;0,636614;R
0,389011;0,555873;0,759167;0,918633;1;0,991516;0,915933;0,646381;0,669188;0,504028;0,457117;0,525734;0,650217;R
0,500522;0,609908;0,84816;0,943951;0,983476;0,980829;1;0,712496;0,765498;0,554779;0,493434;0,547492;0,638402;R
0,179439;0,498221;0,753992;0,910721;1;0,916689;0,917804;0,608344;0,616438;0,315046;0,299741;0,434426;0,699179;R
0,247462;0,364631;0,886367;1;0,885429;0,903462;0,887055;0,80815;0,687557;0,522835;0,287731;0,525472;0,870344;R
0,0937933;0,529202;0,769521;0,933974;0,959059;1;0,966684;0,576286;0,620724;0,462291;0,407487;0,468205;0,673969;R
0,137661;0,504308;0,796115;0,989465;0,98184;1;0,937588;0,782269;0,82707;0,441795;0,429235;0,539149;0,93457;R
0,227359;0,304881;0,524357;0,885236;1;0,963522;0,856651;0,432406;0,454741;0,243689;0,240915;0,306623;0,372832;R
0,129857;0,352035;0,526091;0,909443;0,972665;1;0,955877;0,682044;0,661319;0,52706;0,2169;0,327412;0,65035;R
0,22764;0,471339;0,513219;0,88317;1;0,967804;0,923311;0,586265;0,5616;0,487053;0,372774;0,310427;0,609258;R
0,14212;0,35057;0,440249;0,810993;1;0,911135;0,845378;0,338554;0,373859;0,296977;0,120266;0,342797;0,373038;R
0,382444;0,630022;0,802925;0,893434;1;0,892246;0,748726;0,512124;0,485306;0,295557;0,43121;0,468176;0,552691;R
0,124182;0,346986;0,72582;0,932934;1;0,968658;0,902401;0,650926;0,553569;0,27799;0,230903;0,316755;0,707554;R
0,470064;0,778301;0,848775;1;0,923494;0,914901;0,649905;0,486626;0,446712;0,134754;0,201795;0,33988;0,495093;R
0,32976;0,544639;0,774022;0,909904;1;0,928822;0,72133;0,302924;0,295752;0,138666;0,149917;0,327092;0,493161;R
0,339689;0,656252;0,639877;0,862788;1;0,848963;0,723502;0,267819;0,150871;0,0846098;0,229972;0,275369;0,399677;R
0,26024;0,589881;0,778654;0,934306;1;0,988257;0,977479;0,631536;0,618299;0,502255;0,394433;0,571764;0,640646;R
0,532643;0,717483;0,801511;0,878333;1;0,823503;0,766132;0,554998;0,478433;0,306532;0,439295;0,574014;0,677827;R
0,168131;0,403457;0,436334;0,712689;1;0,759082;0,476849;0,119306;0,148289;-0,167728;-0,0182401;0,304298;0,321884;R
0,437316;0,683196;0,856718;0,937884;0,994139;1;0,898446;0,731732;0,557926;0,731583;0,548329;0,523617;0,469355;R
