LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
0,0941986;0,517938;0,651098;0,803999;1;0,980835;0,836379;0,559266;0,541793;0,237056;0,26067;0,434879;0,504597;Nasal;R
0,12849;0,401026;0,561169;0,877766;1;0,930576;0,797904;0,381319;0,495246;0,268224;0,173666;0,48726;0,334989;Nasal;R
0,0956035;0,274423;0,39877;0,697118;1;0,858961;0,696673;0,403724;0,269042;-0,0909043;-0,0602686;0,282795;0,146951;Nasal;R
0,15894;0,579544;0,775067;1;0,929528;0,860911;0,868638;0,46664;0,281865;-0,00975391;0,0826397;-0,0195112;0,219722;Nasal;R
0,322673;0,309002;0,532443;0,87343;1;0,848851;0,686452;0,0568047;0,0671014;-0,210213;-0,324755;0,158951;0,391205;Nasal;R
0,152807;0,409026;0,598795;1;0,881031;0,848292;0,881543;0,494916;0,575905;0,286934;0,352191;0,372336;0,437394;Nasal;R
-0,0797255;0,348764;0,578466;0,867071;1;0,738907;0,653977;0,344021;-0,0860556;-0,0531908;0,158804;0,193921;0,260526;Nasal;R
0,154524;0,284931;0,59341;0,797146;1;0,906447;0,660276;0,197307;0,0366487;-0,134452;-0,117443;-0,124927;0,103245;Nasal;R
0,0869514;0,323018;0,745122;0,920224;1;0,977739;0,721728;0,333009;0,315777;0,0461753;-0,09899;0,0799411;0,252279;Nasal;R
-0,0866593;0,491971;0,692156;0,821589;0,947823;1;0,907668;0,211684;0,285278;-0,80546;-0,784931;-0,156571;-0,0603745;Nasal;R
0,14479;0,166449;0,234188;0,552638;1;0,707992;0,512619;0,0444901;-0,012848;-0,492872;-0,397788;-0,144102;-0,139595;Nasal;R
0,362218;0,645406;0,760437;0,875316;1;0,921965;0,723141;0,52653;0,297416;0,193488;0,286268;0,295863;0,252301;Nasal;R
0,0728214;0,274544;0,378503;0,609471;1;0,878777;0,600514;0,308169;0,198752;0,150121;0,162763;0,242595;0,331936;Nasal;R
0,0716902;0,279326;0,614305;0,866838;1;0,988842;0,780491;0,451826;0,50763;-0,0166427;-0,0327842;0,460849;0,519622;Nasal;R
0,159823;0,209331;0,62582;0,690988;0,979568;1;0,716496;0,409995;0,3673;-0,0210494;0,118316;0,491025;0,510972;Nasal;R
0,088313;0,391242;0,480228;0,800366;0,948173;1;0,766031;0,212803;0,290618;-0,132337;-0,133664;0,303939;0,51296;Nasal;R
0,438692;0,631362;0,887526;0,78232;0,927973;1;0,986285;0,372632;0,261983;-0,317292;0,0146954;0,717528;0,531226;Nasal;R
0,211636;0,0724864;0,268308;0,976636;1;0,741433;0,489524;0,0721201;-0,132317;-0,206365;-0,2633;0,131291;0,36155;Nasal;R
