LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;cone_type
-0,119296;-0,0878168;-0,087506;-0,101794;-0,111562;-0,128288;-0,143104;-0,133315;-0,059331;0,388158;0,965999;0,995587;1;U
-0,075565;-0,129061;-0,113269;-0,142537;-0,120959;-0,156423;-0,194907;-0,084845;-0,00958985;0,505921;0,966118;0,996014;1;U
-0,104165;0,107485;0,0248207;0,0960427;0,10693;0,0849541;0,136702;0,148037;0,235987;0,558694;0,971176;0,975674;0,985426;U
-0,11807;-0,0677603;-0,124368;-0,04479;-0,112181;-0,172164;-0,122831;-0,0554886;-0,0238165;0,360739;0,937367;0,96175;1;U
-0,00214479;0,139717;0,179537;0,151995;0,117529;0,125074;0,148742;0,19968;0,296175;0,563443;0,949089;0,981156;0,996627;U
-0,0809764;-0,0473898;-0,101958;-0,0920696;-0,19905;-0,268126;-0,20431;-0,141354;-0,0654266;0,562896;0,974208;0,986085;1;U
-0,146319;-0,108962;-0,113099;-0,147547;-0,0799753;-0,172831;-0,166075;-0,0806089;-0,0366891;0,45921;0,881342;0,895109;1;U
-0,0319385;-0,111076;-0,0494879;-0,122757;-0,138139;-0,146298;-0,0526987;-0,0887586;-0,000856155;0,490516;0,955121;0,986555;0,98284;U
-0,0428724;-0,112647;-0,0794479;-0,0740531;-0,130923;-0,189642;-0,177524;-0,157327;-0,0291808;0,558833;0,990081;0,998358;1;U
-0,115344;-0,176037;-0,151263;-0,140072;-0,133763;-0,187129;-1,93E-01;-0,206865;-0,0977054;0,488626;0,975883;1;0,981234;U
-0,0640144;-0,164229;-0,129711;-0,197311;-0,187342;-0,218647;-0,185908;-0,209586;-0,0648442;0,53121;0,982968;1;0,994694;U
-0,0831639;0,0279685;-0,0470012;-0,0461275;-0,0251588;-0,0606868;-0,0281542;0,0215079;0,0998671;0,481373;0,951114;1;0,970002;U
-0,0217655;-0,123992;-0,071734;0,00419867;-0,0814185;-0,0935432;-0,0692326;-0,0511262;0,0405391;0,401029;0,940685;0,969975;1;U
-0,0802166;-0,0282782;-0,0428658;0,0267572;-0,0621147;-0,0866599;-0,00586917;-0,0297919;0,0853968;0,512487;0,95605;1;0,998051;U
