LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
-0,0544066;0,121266;0,056867;0,160312;0,0848574;0,058308;0,0581775;0,0875201;0,159748;0,674855;1;0,991812;0,992437;Nasal;U
-0,0728727;-0,0204233;0,0229298;0,105189;-0,0114992;0,0469203;0,0615225;0,0805902;0,250797;0,751421;0,961672;0,962772;1;Nasal;U
-0,0229847;0,0476825;0,0399633;0,133065;0,123624;0,0789521;0,0687068;0,175701;0,246311;0,797928;0,963313;0,967592;0,989318;Nasal;U
-0,0470178;-0,0743193;0,0273786;0,0667102;0,0496752;0,0686375;-0,00697237;0,166688;0,203675;0,735551;0,959238;0,957589;1;Nasal;U
-0,107617;0,0392841;0,0663046;0,195047;-0,0713445;-0,107265;-0,0804204;-0,0767658;0,0240393;0,687532;0,970933;0,967735;0,989363;Nasal;U
-0,0703261;-0,0123787;0,0939027;0,0796981;0,0630378;0,0791104;0,0664248;0,110292;0,158252;0,798741;0,953428;0,961203;0,993744;Nasal;U
-0,13974;0,0373707;-0,0729335;-0,0400209;-0,0597916;-0,144981;-0,129652;-0,0422773;0,0813284;0,820869;0,970214;0,967615;1;Nasal;U
0,0512191;0,198654;0,250787;0,326151;0,244743;0,229075;0,2471;0,261313;0,236295;0,640752;0,976632;1;0,981703;Nasal;U
0,0280289;0,0541968;0,142257;0,100098;0,0319318;0,00387952;0,0201507;-0,0683324;0,13568;0,619231;0,978252;1;0,963913;Nasal;U
-0,0130188;0,0800809;0,109761;0,106928;0,0898921;-0,0211854;0,0123867;0,0501522;0,23195;0,806886;0,952399;0,951228;1;Nasal;U
-0,126274;-0,196673;-0,237575;-0,12665;-0,252108;-0,439459;-0,422903;-0,413469;-0,349042;0,584481;0,964616;0,978497;1;Nasal;U
-0,252516;-0,204554;-0,294193;-0,290226;-0,260884;-0,26405;-0,288514;-0,151287;0,113972;0,791424;0,944163;0,993502;1;Nasal;U
0,0229542;0,0827613;0,17559;0,128284;0,180699;0,10657;0,125976;0,166901;0,185733;0,683765;0,952087;1;0,991752;Nasal;U
-0,274831;-0,181081;-0,125004;-0,00617974;-0,220884;-0,399658;-0,411717;-0,294026;-0,141082;0,775771;0,939424;0,960878;1;Nasal;U
0,0840764;0,163406;0,0828665;0,174558;0,0559843;-0,0151192;0,014483;0,0833479;0,303843;0,964001;0,962841;0,986112;0,986319;Nasal;U
-0,11635;0,0041896;-0,0880129;0,0277139;-0,0289057;-0,0678359;-0,200343;-0,0270481;0,0884942;0,727385;0,94555;0,961229;1;Nasal;U
-0,0809644;-0,0341169;-0,110354;0,0429876;-0,0035099;-0,0461825;0,072712;0,153946;0,140308;0,7562;1;0,993566;0,993807;Nasal;U
-0,118153;-0,0250182;0,0190124;0,047715;-0,00406398;-0,0493303;-0,0110629;-0,00481135;0,262311;0,739974;0,972286;0,994079;0,995995;Nasal;U
-0,0641724;0,0471941;0,080693;0,0487146;0,0778234;0,276594;0,180325;0,236442;0,408692;0,764162;0,967424;0,957982;1;Nasal;U
-0,0480323;0,146683;0,139673;0,166199;0,162585;0,14633;0,124735;0,117275;0,318537;0,702855;0,960391;0,932084;1;Nasal;U
-0,117412;-0,0564169;0,0445703;0,0421636;-0,00767833;-0,0740833;-0,17081;0,201814;0,276065;0,859976;1;0,931493;0,917512;Nasal;U
-0,0343674;-0,0796194;0,0260705;0,0998721;0,0313214;0,0760609;0,0760696;0,0969904;0,278474;0,712852;0,899108;0,896362;1;Nasal;U
0,055317;0,205972;0,00416527;0,00839495;0,0015923;0,105405;-0,0075556;-0,0343811;0,205549;0,833771;1;0,928715;0,98169;Nasal;U
-0,00278432;0,116334;0,144787;0,194372;0,139861;0,242543;0,27598;0,201283;0,391294;0,765829;0,980616;0,975916;1;Nasal;U
0,0399539;0,107777;0,0651058;0,154039;0,0599352;0,176512;0,100001;0,241679;0,298942;0,830027;0,970013;0,956944;1;Nasal;U
0,0714019;0,215772;0,224862;0,214952;0,230662;0,25246;0,168974;0,308971;0,359674;0,792452;0,986137;1;0,980135;Nasal;U
0,0672456;-0,020751;0,0915221;0,204841;0,038949;0,0122227;-0,128521;0,182576;0,28001;0,757704;0,907042;0,898235;0,97994;Nasal;U
