LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;cone_type
0,0167798;0,0658637;-0,0211239;-0,040048;-0,0809144;-0,0735845;0,0274891;0,0386292;0,0856827;0,536437;0,915814;1;0,941248;U
0,0313718;0,00309586;0,0264237;0,0260307;-0,000104027;0,107616;0,123487;0,156291;0,0936268;0,51186;0,949596;1;0,973126;U
0,0536263;0,0807136;0,148955;0,0195433;-0,00531003;-0,0435846;0,00835104;0,0995032;0,138494;0,82571;0,922094;0,966259;1;U
0,116564;0,158412;0,0932027;0,161363;0,180874;0,101871;0,230185;-0,000795584;0,141255;0,336069;0,883016;0,962206;1;U
0,00138503;0,023348;0,0479621;0,137294;0,0241517;0,103159;0,131571;0,115389;0,0309102;0,337127;0,939466;0,974491;1;U
-0,472429;-0,327931;-0,599165;-0,78986;-0,588163;-0,561522;-0,562911;-0,297144;-0,192454;0,583537;0,98767;0,90229;0,89754;U
0,00781344;-0,0513187;0,0304926;-0,110479;-0,0606535;-0,00637272;0,0288748;-0,0518194;-0,0149769;0,485171;0,903063;0,937189;1;U
0,12994;0,0543944;0,135718;0,19283;0,295999;0,195946;0,0552817;0,226583;0,264172;0,629256;0,929193;1;0,994166;U
0,00314878;-0,071245;-0,0454629;-0,0345469;0,0994681;0,11327;-0,0229533;-0,0451811;0,141037;0,494026;0,883992;1;0,886762;U
0,00837727;-0,0458609;0,0494772;-0,0675679;-0,036468;-0,0248908;-9,38E-02;-0,0231897;0,163256;0,696443;0,935183;0,999029;0,973861;U
0,134788;0,00829901;-0,0865843;-0,208989;-0,137646;-0,292951;-0,024659;0,015213;-0,163607;0,49888;0,864164;1;0,821028;U
-0,0270763;0,0905852;0,173196;-0,157107;0,133476;-0,267102;-0,13993;-0,0239723;0,14126;0,681883;0,969531;0,922127;1;U
0,121423;0,0160458;0,0661311;0,00235801;-0,0891222;-0,205501;-0,220886;-0,0066769;-0,216434;0,323437;0,974846;1;0,910266;U
-0,0614661;-0,0390592;0,0447806;0,0656179;-0,0489392;0,0207559;-0,065208;0,0327902;0,0431518;0,394095;0,826493;0,979326;1;U
-0,0217263;-0,0387008;-0,0143611;-0,01443;-0,196297;-0,19165;-0,0227292;-0,154389;-0,0416634;-0,045784;0,634283;0,970904;1;U
0,0521182;0,0282624;0,360266;-0,148004;0,0761931;-0,262703;-0,338699;-0,179644;-0,180619;0,511961;0,933762;1;0,945274;U
0,16447;0,103835;0,306342;0,0938008;0,18299;0,151038;0,189588;0,164036;0,243711;0,797745;0,973019;0,987175;1;U
0,104178;0,0311333;0,251346;0,0337421;-0,0626967;-0,000745484;-0,0168542;0,0771456;0,125243;0,595635;0,953658;0,801069;1;U
-0,00652474;0,0777394;0,202195;0,0768982;0,190108;0,140124;0,254754;0,31035;0,593259;0,888331;0,981103;0,972377;1;U
0,185784;0,0210708;0,131393;0,0886028;0,0658645;0,26182;0,160378;0,169744;0,273645;0,457024;0,887253;0,952318;0,95024;U
-0,0280395;0,119117;-0,0352252;-0,154171;0,0445384;0,125806;0,128702;0,291023;-0,0902104;0,276958;0,969181;0,988943;1;U
0,0161996;0,109115;-0,0981896;-0,0781702;-0,120953;0,00961199;-0,174044;0,0853593;0,0841984;0,580173;0,704813;0,714391;0,881517;U
0,0213924;0,285926;-0,259032;-0,0738478;-0,103435;-0,217554;-0,0254535;-0,0117453;0,222268;0,676009;0,911495;0,98788;1;U
