R;G;B;U;wavelength
4,75E-14;7,55E-20;5,49E-26;0;0
5,58E-14;9,72E-20;7,79E-26;0;1
6,56E-14;1,25E-19;1,11E-25;0;2
7,70E-14;1,61E-19;1,57E-25;0;3
9,04E-14;2,06E-19;2,22E-25;0;4
1,06E-13;2,65E-19;3,13E-25;0;5
1,24E-13;3,39E-19;4,42E-25;0;6
1,46E-13;4,34E-19;6,24E-25;0;7
1,71E-13;5,56E-19;8,79E-25;0;8
2,00E-13;7,11E-19;1,24E-24;0;9
2,34E-13;9,09E-19;1,74E-24;0;10
2,74E-13;1,16E-18;2,44E-24;0;11
3,20E-13;1,48E-18;3,42E-24;0;12
3,75E-13;1,89E-18;4,80E-24;0;13
4,38E-13;2,41E-18;6,72E-24;0;14
5,11E-13;3,07E-18;9,39E-24;0;15
5,97E-13;3,90E-18;1,31E-23;0;16
6,97E-13;4,96E-18;1,83E-23;0;17
8,13E-13;6,31E-18;2,55E-23;0;18
9,47E-13;8,01E-18;3,55E-23;0;19
1,10E-12;1,02E-17;4,94E-23;0;20
1,29E-12;1,29E-17;6,86E-23;0;21
1,50E-12;1,63E-17;9,52E-23;0;22
1,74E-12;2,07E-17;1,32E-22;0;23
2,03E-12;2,61E-17;1,83E-22;0;24
2,36E-12;3,30E-17;2,53E-22;0;25
2,74E-12;4,17E-17;3,49E-22;0;26
3,18E-12;5,26E-17;4,82E-22;1,40E-45;27
3,70E-12;6,64E-17;6,64E-22;2,80E-45;28
4,29E-12;8,37E-17;9,15E-22;4,20E-45;29
4,98E-12;1,05E-16;1,26E-21;9,81E-45;30
5,78E-12;1,33E-16;1,73E-21;2,10E-44;31
6,70E-12;1,67E-16;2,37E-21;4,48E-44;32
7,76E-12;2,09E-16;3,26E-21;9,53E-44;33
8,99E-12;2,63E-16;4,46E-21;1,99E-43;34
1,04E-11;3,30E-16;6,10E-21;4,13E-43;35
1,20E-11;4,14E-16;8,34E-21;8,59E-43;36
1,39E-11;5,18E-16;1,14E-20;1,78E-42;37
1,61E-11;6,49E-16;1,55E-20;3,68E-42;38
1,86E-11;8,11E-16;2,12E-20;7,58E-42;39
2,15E-11;1,01E-15;2,88E-20;1,56E-41;40
