;R;G;B;U;Wavelength;R_fitted_opsin;R_hc_block_norm_mean;G_fitted_opsin;G_hc_block_norm_mean;B_fitted_opsin;B_hc_block_norm_mean;U_fitted_opsin;U_hc_block_norm_mean
0;4.74712E-14;7.55305E-20;5.4908E-26;0;0;;;;;;;;
1;5.57959E-14;9.71958E-20;7.79475E-26;0;1;;;;;;;;
2;6.55511E-14;1.24982E-19;1.10534E-25;0;2;;;;;;;;
3;7.69777E-14;1.60592E-19;1.56575E-25;0;3;;;;;;;;
4;9.03557E-14;2.06193E-19;2.21553E-25;0;4;;;;;;;;
5;1.06011E-13;2.64546E-19;3.13156E-25;0;5;;;;;;;;
6;1.24324E-13;3.39159E-19;4.42154E-25;0;6;;;;;;;;
7;1.45735E-13;4.34492E-19;6.23614E-25;0;7;;;;;;;;
8;1.70758E-13;5.56205E-19;8.78593E-25;0;8;;;;;;;;
9;1.99987E-13;7.11481E-19;1.23649E-24;0;9;;;;;;;;
10;2.34115E-13;9.09427E-19;1.73828E-24;0;10;;;;;;;;
11;2.73945E-13;1.16158E-18;2.44107E-24;0;11;;;;;;;;
12;3.20408E-13;1.48253E-18;3.42428E-24;0;12;;;;;;;;
13;3.74585E-13;1.89075E-18;4.7983E-24;0;13;;;;;;;;
14;4.37726E-13;2.40957E-18;6.71638E-24;0;14;;;;;;;;
15;5.11283E-13;3.06846E-18;9.39102E-24;0;15;;;;;;;;
16;5.96934E-13;3.90461E-18;1.31165E-23;0;16;;;;;;;;
17;6.96623E-13;4.9649E-18;1.83002E-23;0;17;;;;;;;;
18;8.12596E-13;6.30838E-18;2.55047E-23;0;18;;;;;;;;
19;9.47454E-13;8.00943E-18;3.55071E-23;0;19;;;;;;;;
20;1.1042E-12;1.01616E-17;4.93787E-23;0;20;;;;;;;;
21;1.28631E-12;1.28823E-17;6.85951E-23;0;21;;;;;;;;
22;1.49777E-12;1.63194E-17;9.51867E-23;0;22;;;;;;;;
23;1.74323E-12;2.06581E-17;1.31944E-22;0;23;;;;;;;;
24;2.028E-12;2.61307E-17;1.82696E-22;0;24;;;;;;;;
25;2.35825E-12;3.30284E-17;2.52698E-22;0;25;;;;;;;;
26;2.74105E-12;4.17157E-17;3.49141E-22;0;26;;;;;;;;
27;3.18456E-12;5.26485E-17;4.81871E-22;1.4013E-45;27;;;;;;;;
28;3.69818E-12;6.63971E-17;6.64339E-22;2.8026E-45;28;;;;;;;;
29;4.29273E-12;8.36734E-17;9.1491E-22;4.2039E-45;29;;;;;;;;
